BOOK_ORDER,BOOK_ABBREV,BOOK,CHAPTER,VERSE,READING
13,1 Chr,1+Chronicles,15,16,
13,1 Chr,1+Chronicles,15,17,
13,1 Chr,1+Chronicles,15,18,
13,1 Chr,1+Chronicles,15,19,
13,1 Chr,1+Chronicles,15,2,
13,1 Chr,1+Chronicles,15,20,
13,1 Chr,1+Chronicles,15,21,
13,1 Chr,1+Chronicles,15,22,
13,1 Chr,1+Chronicles,15,23,
13,1 Chr,1+Chronicles,15,24,
13,1 Chr,1+Chronicles,15,25,
13,1 Chr,1+Chronicles,15,26,
13,1 Chr,1+Chronicles,15,27,
13,1 Chr,1+Chronicles,15,28,
13,1 Chr,1+Chronicles,15,29,
13,1 Chr,1+Chronicles,15,3,
13,1 Chr,1+Chronicles,15,4,
13,1 Chr,1+Chronicles,15,5,
13,1 Chr,1+Chronicles,15,6,
13,1 Chr,1+Chronicles,15,7,
13,1 Chr,1+Chronicles,15,8,
13,1 Chr,1+Chronicles,15,9,
13,1 Chr,1+Chronicles,16,1,
13,1 Chr,1+Chronicles,16,10,
13,1 Chr,1+Chronicles,16,11,
13,1 Chr,1+Chronicles,16,12,
13,1 Chr,1+Chronicles,16,13,
13,1 Chr,1+Chronicles,16,14,
13,1 Chr,1+Chronicles,16,15,
13,1 Chr,1+Chronicles,16,16,
13,1 Chr,1+Chronicles,16,17,
13,1 Chr,1+Chronicles,16,18,
13,1 Chr,1+Chronicles,16,19,
13,1 Chr,1+Chronicles,16,2,
13,1 Chr,1+Chronicles,16,20,
13,1 Chr,1+Chronicles,16,21,
13,1 Chr,1+Chronicles,16,22,
13,1 Chr,1+Chronicles,16,23,
13,1 Chr,1+Chronicles,16,24,
13,1 Chr,1+Chronicles,16,25,
13,1 Chr,1+Chronicles,16,26,
13,1 Chr,1+Chronicles,16,27,
13,1 Chr,1+Chronicles,16,28,
13,1 Chr,1+Chronicles,16,29,
13,1 Chr,1+Chronicles,16,3,
13,1 Chr,1+Chronicles,16,30,
13,1 Chr,1+Chronicles,16,31,
13,1 Chr,1+Chronicles,16,32,
13,1 Chr,1+Chronicles,16,33,
13,1 Chr,1+Chronicles,16,34,
13,1 Chr,1+Chronicles,16,35,
13,1 Chr,1+Chronicles,16,36,
13,1 Chr,1+Chronicles,16,37,
13,1 Chr,1+Chronicles,16,38,
13,1 Chr,1+Chronicles,16,39,
13,1 Chr,1+Chronicles,16,4,
13,1 Chr,1+Chronicles,16,40,
13,1 Chr,1+Chronicles,16,41,
13,1 Chr,1+Chronicles,16,42,
13,1 Chr,1+Chronicles,16,43,
13,1 Chr,1+Chronicles,16,5,
13,1 Chr,1+Chronicles,16,6,
13,1 Chr,1+Chronicles,16,7,
13,1 Chr,1+Chronicles,16,8,
13,1 Chr,1+Chronicles,16,9,
13,1 Chr,1+Chronicles,17,1,
13,1 Chr,1+Chronicles,17,10,
13,1 Chr,1+Chronicles,17,11,
13,1 Chr,1+Chronicles,17,12,
13,1 Chr,1+Chronicles,17,13,
13,1 Chr,1+Chronicles,17,14,
13,1 Chr,1+Chronicles,17,15,
13,1 Chr,1+Chronicles,17,16,
13,1 Chr,1+Chronicles,17,17,
13,1 Chr,1+Chronicles,17,18,
13,1 Chr,1+Chronicles,17,19,
13,1 Chr,1+Chronicles,17,2,
13,1 Chr,1+Chronicles,17,20,
13,1 Chr,1+Chronicles,17,21,
13,1 Chr,1+Chronicles,17,22,
13,1 Chr,1+Chronicles,17,23,
13,1 Chr,1+Chronicles,17,24,
13,1 Chr,1+Chronicles,17,25,
13,1 Chr,1+Chronicles,17,26,
13,1 Chr,1+Chronicles,17,27,
13,1 Chr,1+Chronicles,17,3,
13,1 Chr,1+Chronicles,17,4,
13,1 Chr,1+Chronicles,17,5,
13,1 Chr,1+Chronicles,17,6,
13,1 Chr,1+Chronicles,17,7,
13,1 Chr,1+Chronicles,17,8,
13,1 Chr,1+Chronicles,17,9,
13,1 Chr,1+Chronicles,18,1,
13,1 Chr,1+Chronicles,18,10,
13,1 Chr,1+Chronicles,18,11,
13,1 Chr,1+Chronicles,18,12,
13,1 Chr,1+Chronicles,18,13,
13,1 Chr,1+Chronicles,18,14,
13,1 Chr,1+Chronicles,18,15,
13,1 Chr,1+Chronicles,18,16,
13,1 Chr,1+Chronicles,18,17,
13,1 Chr,1+Chronicles,18,2,
13,1 Chr,1+Chronicles,18,3,
13,1 Chr,1+Chronicles,18,4,
13,1 Chr,1+Chronicles,18,5,
13,1 Chr,1+Chronicles,18,6,
13,1 Chr,1+Chronicles,18,7,
13,1 Chr,1+Chronicles,18,8,
13,1 Chr,1+Chronicles,18,9,
13,1 Chr,1+Chronicles,24,1,
13,1 Chr,1+Chronicles,24,10,
13,1 Chr,1+Chronicles,24,11,
13,1 Chr,1+Chronicles,24,12,
13,1 Chr,1+Chronicles,24,13,
13,1 Chr,1+Chronicles,24,14,
13,1 Chr,1+Chronicles,24,15,
13,1 Chr,1+Chronicles,24,16,
13,1 Chr,1+Chronicles,24,17,
13,1 Chr,1+Chronicles,24,18,
13,1 Chr,1+Chronicles,24,19,
13,1 Chr,1+Chronicles,24,2,
13,1 Chr,1+Chronicles,24,20,
13,1 Chr,1+Chronicles,24,21,
13,1 Chr,1+Chronicles,24,22,
13,1 Chr,1+Chronicles,24,23,
13,1 Chr,1+Chronicles,24,24,
13,1 Chr,1+Chronicles,24,25,
13,1 Chr,1+Chronicles,24,26,
13,1 Chr,1+Chronicles,24,27,
13,1 Chr,1+Chronicles,24,28,
13,1 Chr,1+Chronicles,24,29,
13,1 Chr,1+Chronicles,24,3,
13,1 Chr,1+Chronicles,24,30,
13,1 Chr,1+Chronicles,24,31,
13,1 Chr,1+Chronicles,24,4,
13,1 Chr,1+Chronicles,24,5,
13,1 Chr,1+Chronicles,24,6,
13,1 Chr,1+Chronicles,24,7,
13,1 Chr,1+Chronicles,24,8,
13,1 Chr,1+Chronicles,24,9,
13,1 Chr,1+Chronicles,25,1,
13,1 Chr,1+Chronicles,25,10,
13,1 Chr,1+Chronicles,25,11,
13,1 Chr,1+Chronicles,25,12,
13,1 Chr,1+Chronicles,25,13,
13,1 Chr,1+Chronicles,25,14,
13,1 Chr,1+Chronicles,25,15,
13,1 Chr,1+Chronicles,25,16,
13,1 Chr,1+Chronicles,25,17,
13,1 Chr,1+Chronicles,25,18,
13,1 Chr,1+Chronicles,25,19,
13,1 Chr,1+Chronicles,25,2,
13,1 Chr,1+Chronicles,25,20,
13,1 Chr,1+Chronicles,25,21,
13,1 Chr,1+Chronicles,25,22,
13,1 Chr,1+Chronicles,25,23,
13,1 Chr,1+Chronicles,25,24,
13,1 Chr,1+Chronicles,25,25,
13,1 Chr,1+Chronicles,25,26,
13,1 Chr,1+Chronicles,25,27,
13,1 Chr,1+Chronicles,25,28,
13,1 Chr,1+Chronicles,25,29,
13,1 Chr,1+Chronicles,25,3,
13,1 Chr,1+Chronicles,25,30,
13,1 Chr,1+Chronicles,25,31,
13,1 Chr,1+Chronicles,25,4,
13,1 Chr,1+Chronicles,25,5,
13,1 Chr,1+Chronicles,25,6,
13,1 Chr,1+Chronicles,25,7,
13,1 Chr,1+Chronicles,25,8,
13,1 Chr,1+Chronicles,25,9,
13,1 Chr,1+Chronicles,9,1,
13,1 Chr,1+Chronicles,9,10,
13,1 Chr,1+Chronicles,9,11,
13,1 Chr,1+Chronicles,9,12,
13,1 Chr,1+Chronicles,9,13,
13,1 Chr,1+Chronicles,9,14,
13,1 Chr,1+Chronicles,9,15,
13,1 Chr,1+Chronicles,9,16,
13,1 Chr,1+Chronicles,9,17,
13,1 Chr,1+Chronicles,9,18,
13,1 Chr,1+Chronicles,9,19,
13,1 Chr,1+Chronicles,9,2,
13,1 Chr,1+Chronicles,9,20,
13,1 Chr,1+Chronicles,9,21,
13,1 Chr,1+Chronicles,9,22,
13,1 Chr,1+Chronicles,9,23,
13,1 Chr,1+Chronicles,9,24,
